"GroupType","Month","ReferralsReceived","SelfReferrals","Appointments","NotCaseness","Recovery","Improvement","Deterioration","NoReliableChange","ReliableRecovery","GuideSelfHelpBookApts","NonGuideSelfHelpBookApts","GuideSelfHelpCompApts","NonGuideSelfHelpCompApts","BehavActLIApts","StructPhysActApts","AntePostNatalCounselApts","PsychoEducPeerSuppApts","OtherLIApts","EmploySuppLIApts","AppRelaxApts","BehavActHIApts","CoupleTherapyDepApts","CollabCareApts","CounselDepApts","BPDApts","EyeMoveDesenReproApts","MindfulApts","OtherHIApts","EmploySuppHIApts","CBTApts","IPTApts"
"England",2015-01-01,112683,50017,476165,3598,16306,24536,2400,11608,15591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",2015-02-01,111609,47527,457001,3984,16388,24316,2540,11526,15682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",2015-03-01,123474,53501,508985,4472,19467,29222,2913,13928,18562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",2015-04-01,103897,44100,456639,4042,18220,27191,2736,12651,17360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",2015-05-01,99893,43330,436476,3760,17480,26030,2561,12156,16664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",2015-06-01,114126,50850,529488,4294,19625,29214,2821,13957,18633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"England",2015-07-01,115727,51662,527488,4646,20974,31018,3055,14888,19929,57267,15970,4702,1281,5945,269,143,16128,51003,261,188,1075,1210,1126,42867,2141,3563,1355,28104,98,121441,4324
"England",2015-08-01,96761,44144,435930,3678,17281,25498,2598,12360,16455,50854,12582,4635,1201,5066,241,60,12450,41135,206,132,874,1019,976,32900,1530,2847,1124,22413,70,102418,3106
"England",2015-09-01,115373,55341,482536,3975,19552,29154,2885,13604,18644,50306,13708,5246,1430,5654,292,120,14812,43641,271,138,991,1205,1023,38430,1801,3276,1732,25859,50,117528,3873
"England",2015-10-01,121906,58496,495406,3827,19160,28358,3024,13257,18303,53479,14242,5450,1378,5466,297,130,15987,43987,172,195,900,1230,956,40739,1513,3356,2006,26071,56,120583,3795
"England",2015-11-01,123774,61917,515327,3850,18733,27847,2831,13245,17830,54888,14199,6065,1399,5334,320,133,16966,46435,146,160,886,1422,1109,42468,1484,3340,2037,27627,43,127398,4120
"England",2015-12-01,100088,46620,415941,3458,17512,25740,2709,11905,16645,44740,12578,5260,1330,4200,247,86,10441,35905,114,114,733,1170,752,33970,1322,2653,1223,22552,34,98598,3388
"England",2016-01-01,119470,63788,500311,3398,18652,27060,2625,11775,17759,52877,14291,6681,1631,4952,228,114,15721,47480,253,164,908,1404,1067,42369,1477,3208,1434,27932,50,119610,4138
"England",2016-02-01,123179,65218,513072,3650,19424,27783,2743,12107,18490,56647,14460,6740,1692,6252,233,109,16401,50051,218,149,912,1361,1030,43557,1325,3089,1819,28297,50,120234,3773
"England",2016-03-01,118989,63667,508396,4263,21637,31291,3085,14169,20569,56416,14410,6870,1851,5778,180,126,15538,51864,254,169,806,1377,916,42828,1084,3260,1540,26723,39,116891,3801
"England",2016-04-01,112610,59539,511026,3802,21117,30556,2744,12903,20098,55720,13864,7263,1779,6173,202,97,13222,52009,251,125,926,1493,1324,43392,1193,3640,1282,26836,39,122780,4086
"England",2016-05-01,107128,57893,505351,3694,21068,30214,2763,13084,20081,57365,13085,6950,2078,5943,183,86,14833,50964,256,383,924,1485,1425,43679,1075,3750,1370,25362,36,120923,4192
"England",2016-06-01,113918,61891,536003,3899,22787,32724,3160,13947,21714,61047,13230,7988,2530,6422,191,100,14967,52268,230,154,901,1565,1654,46517,1082,4107,1132,26937,64,125174,4244
"England",2016-07-01,105202,57348,493414,3717,22086,31799,2975,13522,21029,58590,11868,7600,2374,5743,203,88,13007,48670,280,369,712,1356,1477,43882,900,3893,903,25128,42,114787,3946
"England",2016-08-01,106462,59152,495842,3644,22291,32085,3041,13784,21168,60537,12171,7706,2477,6252,176,87,12537,47821,196,160,1122,1390,1612,44321,885,3956,766,24274,37,117244,3757
"England",2016-09-01,116572,67585,507252,3671,22528,32455,3160,13866,21507,59382,12795,7241,2521,5989,218,92,14677,50065,130,202,1040,1754,1594,45999,948,4377,969,25031,19,121088,4187
"England",2016-10-01,116325,68250,496463,3401,20661,29595,2870,12474,19669,56523,12813,7420,2613,4818,229,71,16373,49169,179,120,1039,1704,1491,44709,928,4183,1752,25226,27,119829,4003
"England",2016-11-01,126126,75732,564012,3582,22291,31898,3029,13627,21192,64531,13882,9056,3349,5501,252,61,18935,56153,146,147,1130,2070,2434,52152,1223,4811,1737,28090,38,136640,4644
"England",2016-12-01,92260,51648,408901,3280,18907,27033,2638,12134,17935,48516,11257,7585,2812,4088,203,41,9247,38631,121,81,724,1392,1817,35905,791,3309,723,20093,30,97273,3125
"England",2017-01-01,126297,78683,531121,3168,21389,30462,2738,12187,20417,60087,14070,10077,3670,4720,150,59,14428,48863,135,94,616,1845,2346,47092,1105,4435,1148,26865,50,129669,4198
"England",2017-02-01,113707,70047,489836,3085,20494,28586,2543,11517,19536,57096,12687,9636,3587,4606,193,83,15313,49071,135,80,674,1744,2240,42797,1116,4052,1604,26023,42,118802,3610
"England",2017-03-01,130073,79922,535823,3770,24907,34441,2979,13947,23674,62325,14350,10558,4317,4824,190,78,15487,55535,96,125,719,1911,2396,46784,1191,4351,1704,28806,86,130484,3606
"England",2017-04-01,102535,63313,443025,2963,19865,27965,2401,11074,18974,49787,11227,9406,2643,3997,126,54,12187,46389,130,99,517,1595,1979,38157,1031,3515,1078,24522,45,107035,3276
"England",2017-05-01,127243,80308,534224,3219,22483,31812,2853,12995,21337,59362,14295,11501,3087,5038,119,81,14775,53921,156,356,710,1820,2615,46589,1217,4640,1499,26868,48,131195,4258
"England",2017-06-01,119346,74850,530603,3300,23332,32714,2986,12875,22271,61024,14187,11390,2999,4588,112,62,15324,53321,139,121,695,1785,2470,46517,1082,4458,1374,25534,63,127696,4075
