"week","cognitive_behavioural_therapy","counselling_psychology","antidepressant","depression","anxiety"
"2015-01-04",18,33,11,84,72
"2015-01-11",17,33,11,83,69
"2015-01-18",18,35,12,86,70
"2015-01-25",16,36,12,92,72
"2015-02-01",18,37,9,92,70
"2015-02-08",18,36,13,94,69
"2015-02-15",18,34,10,82,72
"2015-02-22",18,38,11,94,72
"2015-03-01",20,36,11,91,74
"2015-03-08",21,34,13,86,76
"2015-03-15",20,36,12,86,73
"2015-03-22",19,33,11,95,71
"2015-03-29",16,28,11,84,68
"2015-04-05",17,29,12,86,68
"2015-04-12",18,32,11,85,73
"2015-04-19",21,35,10,81,74
"2015-04-26",20,36,9,81,74
"2015-05-03",17,33,10,78,71
"2015-05-10",21,37,11,84,80
"2015-05-17",17,34,10,83,79
"2015-05-24",16,29,10,79,71
"2015-05-31",19,31,9,74,75
"2015-06-07",18,32,8,76,69
"2015-06-14",18,30,10,76,73
"2015-06-21",18,29,10,75,67
"2015-06-28",17,31,11,66,68
"2015-07-05",17,28,10,78,78
"2015-07-12",16,30,10,82,70
"2015-07-19",16,27,11,73,73
"2015-07-26",16,24,10,69,72
"2015-08-02",15,25,9,71,73
"2015-08-09",14,25,10,72,73
"2015-08-16",15,26,10,73,74
"2015-08-23",15,28,10,72,75
"2015-08-30",14,28,10,77,77
"2015-09-06",16,32,10,75,85
"2015-09-13",16,31,12,77,84
"2015-09-20",16,33,11,76,76
"2015-09-27",17,31,11,76,80
"2015-10-04",18,34,9,88,85
"2015-10-11",18,35,11,87,83
"2015-10-18",18,34,10,89,87
"2015-10-25",16,30,10,81,80
"2015-11-01",19,36,11,95,83
"2015-11-08",16,37,11,87,88
"2015-11-15",16,36,12,83,83
"2015-11-22",15,31,10,79,80
"2015-11-29",17,33,12,87,84
"2015-12-06",19,32,11,88,82
"2015-12-13",15,31,11,89,79
"2015-12-20",10,18,11,75,72
"2015-12-27",13,24,11,83,79
"2016-01-03",18,38,13,90,97
"2016-01-10",19,38,11,81,90
"2016-01-17",17,39,13,86,85
"2016-01-24",19,36,14,86,92
"2016-01-31",19,36,13,89,92
"2016-02-07",17,37,14,88,87
"2016-02-14",19,36,14,95,88
"2016-02-21",18,37,12,89,97
"2016-02-28",19,38,12,88,85
"2016-03-06",20,38,14,94,91
"2016-03-13",20,39,12,91,90
"2016-03-20",18,31,12,84,83
"2016-03-27",17,29,11,84,87
"2016-04-03",18,36,14,81,89
"2016-04-10",22,38,11,90,94
"2016-04-17",20,37,12,86,88
"2016-04-24",20,38,12,81,89
"2016-05-01",18,36,12,81,81
"2016-05-08",20,38,12,83,86
"2016-05-15",22,40,12,88,91
"2016-05-22",18,34,10,77,87
"2016-05-29",16,27,12,76,77
"2016-06-05",20,35,12,74,89
"2016-06-12",19,34,11,74,89
"2016-06-19",17,29,10,71,80
"2016-06-26",17,31,11,69,80
"2016-07-03",16,31,11,71,81
"2016-07-10",16,28,10,73,84
"2016-07-17",17,28,11,74,82
"2016-07-24",17,26,12,74,83
"2016-07-31",15,26,12,72,86
"2016-08-07",17,27,10,66,76
"2016-08-14",15,27,11,65,79
"2016-08-21",16,30,11,72,80
"2016-08-28",17,28,10,72,90
"2016-09-04",17,32,13,81,96
"2016-09-11",16,33,12,79,94
"2016-09-18",16,35,12,86,97
"2016-09-25",17,35,11,83,90
"2016-10-02",16,37,10,83,96
"2016-10-09",17,34,12,92,97
"2016-10-16",17,37,14,84,97
"2016-10-23",17,33,11,82,95
"2016-10-30",18,39,13,89,100
"2016-11-06",18,37,11,85,92
"2016-11-13",17,37,12,86,94
"2016-11-20",19,35,13,85,91
"2016-11-27",17,33,11,84,89
"2016-12-04",17,35,12,84,90
"2016-12-11",17,34,13,80,95
"2016-12-18",11,21,11,73,85
"2016-12-25",10,20,11,75,81
"2017-01-01",18,35,12,88,100
